gene_id,symbol,desc,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj,Dharia_sig,PTT1_sig
Os10g0529800,GSTU2,Similar to Tau class GST protein 4.,6.87466204568288,0.0003859004150617,0.0005256013941857,1.0,True,False
Os03g0595600,GSTU43,"Similar to Glutathione S-transferase, N-terminal domain containing protein, expressed.",6.75074612377094,4.01237207810551e-09,6.88616764131119,1.8459193718863399e-22,True,True
Os01g0949800,GSTU36,Similar to Glutathione S-transferase GST 28 (EC 2.5.1.18) (Fragment).,4.74317467617697,2.15366774573678e-16,3.33209703293573,9.13214849669476e-16,True,True
Os10g0528900,GSTU14,Similar to Tau class GST protein 3.,3.960463773083,,-5.85955680422963,0.186841987264638,False,False
Os10g0530500,GSTU13,Similar to Glutathione-S-transferase Cla47.,3.08253775028989,0.302895883348963,7.61055330197985,2.72572815333147e-05,False,True
Os10g0527800,GSTU12,"Glutathione S-transferase, Regulation of leaf senescence",2.68277423911908,1.74971035388849e-08,3.01683157322982,1.6369342706522602e-20,True,True
Os01g0949900,GSTU37,"Glutathione reductase, Glutathione S-transferase, ROS-scavenging enzyme, ROS homeostasis, Drought tolerance",2.67237191043543,3.6029998607968e-06,2.23428501517346,7.50559678122381e-09,True,True
Os01g0949750,GSTU35,Similar to Glutathione S-transferase GST 28 (Fragment).,2.62783784493665,3.95980237567844e-12,2.25256192987136,2.6307177040773202e-17,True,True
Os10g0529700,GSTU8,Similar to glutathione transferase35.,2.58973315220991,0.350466770428255,2.87505935115329,0.0184696583754846,False,False
Os10g0525600,GSTU22,"Tau class glutathione S-transferase, Positive regulation of cadmium tolerance",2.32069517022968,5.55028453479971e-08,2.24384512467258,3.5929287300474106e-15,True,True
Os10g0527601,GSTU20,"Glutathione S-transferase, C-terminal-like domain containing protein.",2.09148565749125,0.0009968414850345,2.32156475470533,2.78446021233344e-09,True,True
