GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0042744,hydrogen peroxide catabolic process,6,178,106,29909,9.511023955904177,4.256777025857211e-05,0.0012344653374985913
GO:0006979,response to oxidative stress,6,178,145,29909,6.95288647810926,0.00023965684088919048,0.003475024192893262
GO:0009664,plant-type cell wall organization,3,178,32,29909,15.752633426966293,0.0009053978739904686,0.00875217944857453
GO:0030042,actin filament depolymerization,2,178,10,29909,33.60561797752809,0.0015359648815349068,0.011135745391128075
GO:0030001,metal ion transport,2,178,30,29909,11.20187265917603,0.013733969819610312,0.0796570249537398
GO:0005975,carbohydrate metabolic process,6,178,409,29909,2.464959753852916,0.03619380802935918,0.1749367388085694
GO:0007015,actin filament organization,1,178,16,29909,10.501755617977528,0.09110952753545282,0.24019784532073926
GO:0050832,defense response to fungus,1,178,11,29909,15.275280898876403,0.06356188233643652,0.24019784532073926
GO:0016036,cellular response to phosphate starvation,1,178,14,29909,12.002006420545747,0.08018852151190686,0.24019784532073926
GO:0006032,chitin catabolic process,1,178,15,29909,11.20187265917603,0.08566523812575133,0.24019784532073926
GO:0016998,cell wall macromolecule catabolic process,1,178,15,29909,11.20187265917603,0.08566523812575133,0.24019784532073926
GO:0005992,trehalose biosynthetic process,1,178,23,29909,7.305569125549584,0.12832748899641197,0.24809981205972978
GO:0007165,signal transduction,2,178,92,29909,3.652784562774792,0.10428997715280008,0.24809981205972978
GO:0044042,glucan metabolic process,1,178,23,29909,7.305569125549584,0.12832748899641197,0.24809981205972978
GO:0016192,vesicle-mediated transport,2,178,99,29909,3.394506866416979,0.1177243604204475,0.24809981205972978
GO:0019752,carboxylic acid metabolic process,1,178,26,29909,6.462618841832325,0.14381037976869124,0.2606563133307529
GO:0006520,amino acid metabolic process,1,178,34,29909,4.942002643754131,0.183774018471614,0.27381159098068775
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,1,178,37,29909,4.541299726692985,0.19827735898601528,0.27381159098068775
GO:0042546,cell wall biogenesis,1,178,37,29909,4.541299726692985,0.19827735898601528,0.27381159098068775
GO:0030244,cellulose biosynthetic process,1,178,32,29909,5.250877808988764,0.17396048430447927,0.27381159098068775
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,1,178,36,29909,4.6674469413233455,0.19347161289743162,0.27381159098068775
GO:0006952,defense response,3,178,281,29909,1.7938941980886882,0.23481760053978412,0.30294611593216536
GO:0006633,fatty acid biosynthetic process,1,178,46,29909,3.652784562774792,0.24026760918757945,0.30294611593216536
GO:0098542,defense response to other organism,1,178,49,29909,3.429144691584499,0.2537725198357094,0.30664179480148224
GO:0006508,proteolysis,3,178,354,29909,1.4239668634545801,0.35244733721771343,0.4088389111725476
GO:0006486,obsolete protein glycosylation,1,178,83,29909,2.024434817923379,0.39111339430329706,0.4362418628767544
GO:0009058,biosynthetic process,1,178,94,29909,1.787532871145111,0.42991989598632285,0.44527417798583435
GO:0007166,cell surface receptor signaling pathway,1,178,92,29909,1.826392281387396,0.4230518715839922,0.44527417798583435
GO:0006886,intracellular protein transport,1,178,109,29909,1.5415421090609216,0.4789035766140271,0.4789035766140271
